usuario_id,nombre,timestamp,dia,felicidad,estres,motivacion
1,Ana,2026-02-04T12:26:00,1,0.47,0.44,0.48
1,Ana,2026-02-04T11:44:00,1,0.64,0.54,0.23
1,Ana,2026-02-05T11:02:00,2,0.62,0.46,0.44
1,Ana,2026-02-05T20:02:00,2,0.5,0.87,0.59
1,Ana,2026-02-05T15:48:00,2,0.33,0.41,0.55
1,Ana,2026-02-05T12:21:00,2,0.55,0.42,0.2
1,Ana,2026-02-06T18:27:00,3,0.66,0.48,0.39
1,Ana,2026-02-06T11:07:00,3,0.42,0.48,0.38
1,Ana,2026-02-06T18:03:00,3,0.52,0.4,0.6
1,Ana,2026-02-06T14:52:00,3,0.34,0.8,0.47
1,Ana,2026-02-07T16:12:00,4,0.31,0.72,0.32
1,Ana,2026-02-07T20:02:00,4,0.3,0.43,0.38
1,Ana,2026-02-07T08:07:00,4,0.43,0.45,0.55
1,Ana,2026-02-07T14:22:00,4,0.35,0.67,0.57
1,Ana,2026-02-08T22:03:00,5,0.61,0.76,0.2
1,Ana,2026-02-08T14:13:00,5,0.5,0.42,0.38
1,Ana,2026-02-08T14:32:00,5,0.38,0.83,0.3
1,Ana,2026-02-09T14:49:00,6,0.37,0.74,0.35
1,Ana,2026-02-09T17:31:00,6,0.55,0.6,0.44
1,Ana,2026-02-10T17:25:00,7,0.49,0.54,0.45
1,Ana,2026-02-10T11:29:00,7,0.42,0.8,0.4
2,Carlos,2026-02-04T19:50:00,1,0.58,0.7,0.6
2,Carlos,2026-02-04T08:49:00,1,0.49,0.8,0.45
2,Carlos,2026-02-05T18:13:00,2,0.36,0.74,0.54
2,Carlos,2026-02-05T20:04:00,2,0.26,0.73,0.59
2,Carlos,2026-02-05T19:33:00,2,0.46,0.53,0.58
2,Carlos,2026-02-06T15:11:00,3,0.41,0.71,0.4
2,Carlos,2026-02-06T18:32:00,3,0.57,0.59,0.38
2,Carlos,2026-02-07T21:49:00,4,0.24,0.62,0.43
2,Carlos,2026-02-07T21:00:00,4,0.32,0.58,0.55
2,Carlos,2026-02-08T20:38:00,5,0.38,0.78,0.43
2,Carlos,2026-02-08T10:33:00,5,0.42,0.73,0.49
2,Carlos,2026-02-08T20:25:00,5,0.37,0.73,0.64
2,Carlos,2026-02-08T10:46:00,5,0.36,0.54,0.57
2,Carlos,2026-02-09T17:49:00,6,0.53,0.58,0.41
2,Carlos,2026-02-09T09:37:00,6,0.35,0.53,0.35
2,Carlos,2026-02-09T16:12:00,6,0.24,0.8,0.65
2,Carlos,2026-02-09T08:03:00,6,0.48,0.74,0.54
2,Carlos,2026-02-10T20:49:00,7,0.31,0.65,0.68
2,Carlos,2026-02-10T18:27:00,7,0.58,0.57,0.45
2,Carlos,2026-02-10T14:41:00,7,0.25,0.61,0.37
3,Luna,2026-02-04T13:26:00,1,0.41,0.31,0.68
3,Luna,2026-02-04T08:54:00,1,0.8,0.38,0.52
3,Luna,2026-02-04T14:08:00,1,0.52,0.27,0.64
3,Luna,2026-02-05T14:32:00,2,0.45,0.41,0.86
3,Luna,2026-02-05T10:55:00,2,0.79,0.14,0.75
3,Luna,2026-02-05T09:46:00,2,0.66,0.27,0.57
3,Luna,2026-02-05T16:33:00,2,0.69,0.15,0.64
3,Luna,2026-02-06T18:40:00,3,0.69,0.17,0.51
3,Luna,2026-02-06T13:18:00,3,0.77,0.49,0.59
3,Luna,2026-02-07T09:44:00,4,0.51,0.25,0.73
3,Luna,2026-02-07T15:59:00,4,0.67,0.45,0.86
3,Luna,2026-02-08T21:05:00,5,0.79,0.43,0.8
3,Luna,2026-02-08T11:55:00,5,0.53,0.47,0.72
3,Luna,2026-02-09T17:37:00,6,0.76,0.27,0.83
3,Luna,2026-02-09T08:49:00,6,0.72,0.37,0.59
3,Luna,2026-02-09T16:26:00,6,0.76,0.26,0.63
3,Luna,2026-02-10T08:02:00,7,0.49,0.12,0.76
3,Luna,2026-02-10T11:17:00,7,0.5,0.16,0.59
3,Luna,2026-02-10T12:30:00,7,0.67,0.15,0.67
3,Luna,2026-02-10T20:33:00,7,0.71,0.2,0.71
